timestamp;buyer;seller;symbol;currency;price;quantity
0;;;ASH_COATED_OSMIUM;XIRECS;10000.0;6
3600;;;ASH_COATED_OSMIUM;XIRECS;10017.0;3
4200;;;ASH_COATED_OSMIUM;XIRECS;10017.0;2
4400;;;INTARIAN_PEPPER_ROOT;XIRECS;13011.0;5
4800;;;INTARIAN_PEPPER_ROOT;XIRECS;13008.0;3
5000;;;INTARIAN_PEPPER_ROOT;XIRECS;12998.0;5
9100;;;ASH_COATED_OSMIUM;XIRECS;10006.0;4
9600;;;ASH_COATED_OSMIUM;XIRECS;9999.0;6
10000;;;ASH_COATED_OSMIUM;XIRECS;9999.0;8
12100;;;ASH_COATED_OSMIUM;XIRECS;9998.0;5
14000;;;ASH_COATED_OSMIUM;XIRECS;10012.0;3
15100;;;ASH_COATED_OSMIUM;XIRECS;10013.0;2
15100;;;ASH_COATED_OSMIUM;XIRECS;10013.0;8
17400;;;INTARIAN_PEPPER_ROOT;XIRECS;13013.0;3
18500;;;ASH_COATED_OSMIUM;XIRECS;10016.0;6
23000;;;INTARIAN_PEPPER_ROOT;XIRECS;13016.0;4
23100;;;INTARIAN_PEPPER_ROOT;XIRECS;13019.0;4
23900;;;ASH_COATED_OSMIUM;XIRECS;9996.0;4
24300;;;ASH_COATED_OSMIUM;XIRECS;9995.0;4
24600;;;ASH_COATED_OSMIUM;XIRECS;9995.0;3
30400;;;ASH_COATED_OSMIUM;XIRECS;10008.0;2
30400;;;INTARIAN_PEPPER_ROOT;XIRECS;13037.0;6
32800;;;ASH_COATED_OSMIUM;XIRECS;9992.0;4
33300;;;INTARIAN_PEPPER_ROOT;XIRECS;13037.0;7
34000;;;ASH_COATED_OSMIUM;XIRECS;10010.0;7
34400;;;INTARIAN_PEPPER_ROOT;XIRECS;13041.0;3
34500;;;ASH_COATED_OSMIUM;XIRECS;9994.0;8
35700;;;INTARIAN_PEPPER_ROOT;XIRECS;13043.0;7
35700;;;INTARIAN_PEPPER_ROOT;XIRECS;13039.0;3
35800;;;INTARIAN_PEPPER_ROOT;XIRECS;13031.0;7
36500;;;ASH_COATED_OSMIUM;XIRECS;10010.0;3
37900;;;ASH_COATED_OSMIUM;XIRECS;9992.0;4
38400;;;ASH_COATED_OSMIUM;XIRECS;10008.0;3
38500;;;INTARIAN_PEPPER_ROOT;XIRECS;13028.0;5
39100;;;ASH_COATED_OSMIUM;XIRECS;10008.0;6
39900;;;ASH_COATED_OSMIUM;XIRECS;10008.0;7
41500;;;ASH_COATED_OSMIUM;XIRECS;10009.0;5
42800;;;INTARIAN_PEPPER_ROOT;XIRECS;13050.0;5
44700;;;INTARIAN_PEPPER_ROOT;XIRECS;13040.0;8
50900;;;ASH_COATED_OSMIUM;XIRECS;9995.0;5
51400;;;INTARIAN_PEPPER_ROOT;XIRECS;13041.0;4
52600;;;INTARIAN_PEPPER_ROOT;XIRECS;13056.0;8
54600;;;ASH_COATED_OSMIUM;XIRECS;9992.0;6
57000;;;INTARIAN_PEPPER_ROOT;XIRECS;13064.0;4
58400;;;ASH_COATED_OSMIUM;XIRECS;9997.0;3
59500;;;ASH_COATED_OSMIUM;XIRECS;10017.0;2
61700;;;INTARIAN_PEPPER_ROOT;XIRECS;13069.0;6
62000;;;ASH_COATED_OSMIUM;XIRECS;10014.0;6
63700;;;ASH_COATED_OSMIUM;XIRECS;9998.0;2
64300;;;INTARIAN_PEPPER_ROOT;XIRECS;13060.0;3
64900;;;ASH_COATED_OSMIUM;XIRECS;10013.0;4
65300;;;ASH_COATED_OSMIUM;XIRECS;9997.0;2
68000;;;ASH_COATED_OSMIUM;XIRECS;10018.0;3
70400;;;INTARIAN_PEPPER_ROOT;XIRECS;13074.0;5
71500;;;INTARIAN_PEPPER_ROOT;XIRECS;13067.0;4
73700;;;INTARIAN_PEPPER_ROOT;XIRECS;13067.0;4
76300;;;ASH_COATED_OSMIUM;XIRECS;9997.0;6
76500;;;ASH_COATED_OSMIUM;XIRECS;10016.0;8
77200;;;INTARIAN_PEPPER_ROOT;XIRECS;13070.0;3
80200;;;INTARIAN_PEPPER_ROOT;XIRECS;13073.0;5
83000;;;INTARIAN_PEPPER_ROOT;XIRECS;13086.0;6
83700;;;ASH_COATED_OSMIUM;XIRECS;10015.0;2
84400;;;INTARIAN_PEPPER_ROOT;XIRECS;13088.0;5
84600;;;INTARIAN_PEPPER_ROOT;XIRECS;13092.0;6
84800;;;INTARIAN_PEPPER_ROOT;XIRECS;13088.0;5
85500;;;ASH_COATED_OSMIUM;XIRECS;9996.0;7
85700;;;ASH_COATED_OSMIUM;XIRECS;10001.0;3
85900;;;ASH_COATED_OSMIUM;XIRECS;9995.0;5
87900;;;ASH_COATED_OSMIUM;XIRECS;9993.0;5
88300;;;ASH_COATED_OSMIUM;XIRECS;10012.0;2
90200;;;ASH_COATED_OSMIUM;XIRECS;10010.0;10
90800;;;ASH_COATED_OSMIUM;XIRECS;9993.0;6
91700;;;INTARIAN_PEPPER_ROOT;XIRECS;13087.0;8
92500;;;INTARIAN_PEPPER_ROOT;XIRECS;13100.0;7
95100;;;INTARIAN_PEPPER_ROOT;XIRECS;13091.0;8
96100;;;ASH_COATED_OSMIUM;XIRECS;10009.0;3
96900;;;ASH_COATED_OSMIUM;XIRECS;10010.0;8
97100;;;ASH_COATED_OSMIUM;XIRECS;10010.0;6
106100;;;ASH_COATED_OSMIUM;XIRECS;10012.0;5
107000;;;INTARIAN_PEPPER_ROOT;XIRECS;13114.0;7
109800;;;INTARIAN_PEPPER_ROOT;XIRECS;13117.0;4
109800;;;INTARIAN_PEPPER_ROOT;XIRECS;13113.0;3
110500;;;INTARIAN_PEPPER_ROOT;XIRECS;13114.0;8
111800;;;ASH_COATED_OSMIUM;XIRECS;9994.0;5
114900;;;ASH_COATED_OSMIUM;XIRECS;9992.0;3
116100;;;ASH_COATED_OSMIUM;XIRECS;9993.0;8
117500;;;INTARIAN_PEPPER_ROOT;XIRECS;13110.0;6
120100;;;INTARIAN_PEPPER_ROOT;XIRECS;13127.0;4
122000;;;ASH_COATED_OSMIUM;XIRECS;10008.0;10
122400;;;INTARIAN_PEPPER_ROOT;XIRECS;13133.0;7
122500;;;ASH_COATED_OSMIUM;XIRECS;10009.0;5
124700;;;ASH_COATED_OSMIUM;XIRECS;9991.0;2
126600;;;ASH_COATED_OSMIUM;XIRECS;9992.0;6
126700;;;ASH_COATED_OSMIUM;XIRECS;9992.0;6
127800;;;INTARIAN_PEPPER_ROOT;XIRECS;13117.0;3
128000;;;ASH_COATED_OSMIUM;XIRECS;10007.0;2
129500;;;INTARIAN_PEPPER_ROOT;XIRECS;13137.0;3
130500;;;ASH_COATED_OSMIUM;XIRECS;10007.0;2
131000;;;ASH_COATED_OSMIUM;XIRECS;10008.0;9
